t,cmd_swing,cmd_boom,cmd_arm,cmd_bucket,fk_x,fk_y,fk_z
1.2800,0.321751,-0.744757,1.602293,-1.457536,4.1028,1.3676,0.6036
1.3000,0.321751,-0.757776,1.602917,-1.445142,4.0994,1.3665,0.5635
1.3200,0.321751,-0.770729,1.603383,-1.432654,4.0957,1.3652,0.5234
1.3400,0.321751,-0.783612,1.603689,-1.420077,4.0919,1.3640,0.4834
1.3600,0.321751,-0.796423,1.603837,-1.407414,4.0877,1.3626,0.4435
1.3800,0.321751,-0.796423,1.603837,-1.407414,4.0877,1.3626,0.4435
1.4000,0.316569,-0.785155,1.581056,-1.395901,4.1295,1.3528,0.4473
1.4200,0.311547,-0.773492,1.557494,-1.384002,4.1718,1.3435,0.4513
1.4400,0.306676,-0.761434,1.533151,-1.371718,4.2147,1.3347,0.4555
1.4600,0.301951,-0.748978,1.508023,-1.359045,4.2581,1.3263,0.4598
1.4800,0.297365,-0.736121,1.482101,-1.345980,4.3020,1.3184,0.4645
1.5000,0.292912,-0.722857,1.455372,-1.332515,4.3464,1.3108,0.4693
1.5200,0.288587,-0.709176,1.427819,-1.318642,4.3912,1.3036,0.4743
1.5400,0.284385,-0.695069,1.399418,-1.304350,4.4364,1.2968,0.4796
1.5600,0.280300,-0.680521,1.370144,-1.289624,4.4820,1.2903,0.4851
1.5800,0.276327,-0.665515,1.339962,-1.274447,4.5280,1.2841,0.4909
1.6010,0.272463,-0.650033,1.308832,-1.258799,4.5744,1.2781,0.4969
1.6200,0.268703,-0.634050,1.276706,-1.242656,4.6211,1.2725,0.5032
1.6400,0.265043,-0.617538,1.243528,-1.225990,4.6681,1.2671,0.5098
1.6600,0.261479,-0.600464,1.209231,-1.208767,4.7154,1.2619,0.5168
1.6800,0.258007,-0.582788,1.173736,-1.190948,4.7630,1.2569,0.5240
1.7000,0.254625,-0.564464,1.136949,-1.172485,4.8110,1.2522,0.5317
1.7200,0.251328,-0.545436,1.098758,-1.153322,4.8592,1.2476,0.5397
1.7400,0.248113,-0.525636,1.059028,-1.133392,4.9076,1.2433,0.5481
1.7600,0.244979,-0.504983,1.017595,-1.112613,4.9563,1.2391,0.5570
1.7800,0.244979,-0.504983,1.017595,-1.112613,4.9563,1.2391,0.5570
1.8000,0.244979,-0.496046,1.017405,-1.121359,4.9583,1.2396,0.5919
1.8200,0.244979,-0.487010,1.017012,-1.130002,4.9602,1.2401,0.6267
1.8400,0.244979,-0.477875,1.016414,-1.138540,4.9621,1.2405,0.6617
1.8600,0.244979,-0.468642,1.015613,-1.146970,4.9638,1.2410,0.6966
1.8800,0.244979,-0.459314,1.014606,-1.155293,4.9655,1.2414,0.7317
1.9000,0.244979,-0.449890,1.013395,-1.163505,4.9671,1.2418,0.7668
1.9240,0.244979,-0.440373,1.011979,-1.171606,4.9686,1.2421,0.8019
1.9400,0.244979,-0.430763,1.010356,-1.179593,4.9700,1.2425,0.8371
1.9600,0.244979,-0.421061,1.008527,-1.187466,4.9713,1.2428,0.8723
1.9800,0.244979,-0.421061,1.008527,-1.187466,4.9713,1.2428,0.8723
2.0000,0.248290,-0.441582,1.052459,-1.210877,4.9208,1.2475,0.8644
2.0200,0.251690,-0.461092,1.094469,-1.233377,4.8705,1.2524,0.8570
2.0400,0.255182,-0.479688,1.134753,-1.255066,4.8205,1.2575,0.8503
2.0600,0.258771,-0.497445,1.173472,-1.276027,4.7708,1.2629,0.8441
2.0800,0.262459,-0.514428,1.210756,-1.296328,4.7214,1.2684,0.8383
2.1000,0.266252,-0.530687,1.246714,-1.316028,4.6723,1.2743,0.8331
2.1200,0.270153,-0.546264,1.281438,-1.335174,4.6235,1.2804,0.8283
2.1400,0.274167,-0.561195,1.315004,-1.353810,4.5752,1.2868,0.8240
2.1600,0.278300,-0.575506,1.347476,-1.371969,4.5272,1.2935,0.8201
2.1800,0.278300,-0.575506,1.347476,-1.371969,4.5272,1.2935,0.8201
2.2000,0.278300,-0.586640,1.349026,-1.362386,4.5253,1.2929,0.7830
2.2200,0.278300,-0.597705,1.350401,-1.352696,4.5232,1.2923,0.7460
2.2400,0.278300,-0.608700,1.351603,-1.342902,4.5210,1.2917,0.7090
2.2600,0.278300,-0.619623,1.352631,-1.333007,4.5187,1.2911,0.6720
2.2800,0.278300,-0.630471,1.353485,-1.323013,4.5162,1.2904,0.6351
2.3000,0.278300,-0.641243,1.354166,-1.312922,4.5136,1.2896,0.5982
2.3200,0.278300,-0.651936,1.354673,-1.302737,4.5109,1.2888,0.5614
2.3400,0.278300,-0.662548,1.355008,-1.292460,4.5080,1.2880,0.5247
2.3600,0.278300,-0.673076,1.355169,-1.282093,4.5050,1.2871,0.4880
2.3800,0.278300,-0.673076,1.355169,-1.282093,4.5050,1.2871,0.4880
2.4000,0.272635,-0.680154,1.369406,-1.289252,4.4928,1.2562,0.4853
2.4200,0.266895,-0.687098,1.383377,-1.296280,4.4807,1.2251,0.4826
2.4400,0.261077,-0.693911,1.397088,-1.303177,4.4687,1.1939,0.4800
2.4600,0.255182,-0.700596,1.410543,-1.309948,4.4567,1.1626,0.4775
2.4800,0.249208,-0.707154,1.423747,-1.316593,4.4449,1.1312,0.4751
2.5000,0.243154,-0.713588,1.436703,-1.323115,4.4331,1.0997,0.4727
2.5200,0.237018,-0.719900,1.449416,-1.329516,4.4215,1.0680,0.4704
2.5400,0.230800,-0.726091,1.461888,-1.335797,4.4099,1.0363,0.4681
2.5600,0.224497,-0.732163,1.474123,-1.341960,4.3984,1.0043,0.4659
2.5800,0.218110,-0.738117,1.486124,-1.348007,4.3869,0.9723,0.4637
2.6000,0.211637,-0.743955,1.497894,-1.353939,4.3756,0.9401,0.4616
2.6200,0.205076,-0.749678,1.509435,-1.359757,4.3643,0.9078,0.4596
2.6410,0.198426,-0.755287,1.520749,-1.365462,4.3531,0.8753,0.4576
2.6600,0.191687,-0.760784,1.531840,-1.371056,4.3420,0.8427,0.4557
2.6800,0.184857,-0.766169,1.542708,-1.376539,4.3310,0.8099,0.4538
2.7000,0.177935,-0.771443,1.553356,-1.381913,4.3200,0.7769,0.4520
2.7200,0.170919,-0.776607,1.563785,-1.387178,4.3092,0.7438,0.4502
2.7400,0.163808,-0.781662,1.573997,-1.392335,4.2984,0.7105,0.4485
2.7600,0.156602,-0.786609,1.583994,-1.397385,4.2876,0.6770,0.4468
2.7800,0.156602,-0.786609,1.583994,-1.397385,4.2876,0.6770,0.4468
2.8000,0.149299,-0.791448,1.593776,-1.402328,4.2769,0.6433,0.4451
2.8210,0.141897,-0.796180,1.603346,-1.407166,4.2663,0.6095,0.4436
2.8400,0.134396,-0.800806,1.612704,-1.411899,4.2558,0.5754,0.4420
